Age,Level,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
All aged 16 & over,Up to 6 months,11938756,11447921,11432481,10393211,9774303,9468969,11789227,9984789,9374566,10908427,8022383
All aged 16 & over,Over 6 and up to 12 months,4035868,3387911,2966671,2820803,2612932,2299780,2710866,3618957,1930399,2350234,2025250
All aged 16 & over,All over 12 months,8849849,28187098,5345889,4589754,4289114,3926909,3663191,5126671,4041750,3397392,3020691
All aged 16 & over,All over 24 months,4828880,3721733,2955846,2449080,2261696,1985811,1921669,2434468,2083079,1959109,1410628
All aged 16 to 64,Up to 6 months,11811996,11351123,11318658,10285196,9651133,9369604,11660360,9859473,9215193,10762964,7848596
All aged 16 to 64,Over 6 and up to 12 months,3999413,3342335,2945814,2770461,2567953,2257320,2648108,3541528,1886978,2300007,1980091
All aged 16 to 64,All over 12 months,8722794,6535756,5254316,4521008,4240138,3827604,3526317,4926741,3912295,3283788,2906426
All aged 16 to 64,All over 24 months,4763221,3647075,2903189,2414464,2243960,1925173,1821670,2318303,1995882,1874751,1339114
16 to 17,Up to 6 months,1409946,1281135,1244132,1092286,1011914,838422,863379,906437,986010,886913,785158
16 to 17,Over 6 and up to 12 months,347984,243596,193358,225581,200555,151028,242489,185381,145757,162616,155231
16 to 17,All over 12 months,256614,181145,140262,78635,68957,65819,72949,115108,61977,14795,119272
16 to 17,All over 24 months,25431,2007,18526,0,0,0,0,0,0,0,0
18 to 24,Up to 6 months,3966453,3961139,3681690,3304909,3184836,3273913,3979334,3014070,2902219,3483367,2613271
18 to 24,Over 6 and up to 12 months,1225877,981558,932594,873359,748264,731407,740205,891578,412136,831570,638040
18 to 24,All over 12 months,2391845,1667841,1101562,931990,840942,795239,864141,1066669,764144,683947,732032
18 to 24,All over 24 months,1114445,767786,493148,369695,305157,208859,279916,326231,212289,306919,210294
25 to 49,Up to 6 months,4805283,4580280,4765928,4358661,3933241,3737705,4843549,4127598,3875930,4781733,3351905
25 to 49,Over 6 and up to 12 months,1876738,1528424,1326002,1131139,1102925,917920,1067116,1646629,918759,861858,744688
25 to 49,All over 12 months,4194028,3225762,2470073,2211897,2062343,1809095,1471819,2198108,1848942,1405880,1362682
25 to 49,All over 24 months,2408849,1871965,1399277,1218494,1130135,994397,792473,1064667,1057004,765034,652717
50 and over,Up to 6 months,1757074,1625367,1740730,1637355,1644312,1618930,2102965,1936685,1610408,1756414,1272049
50 and over,Over 6 and up to 12 months,585269,634333,514717,590724,561188,499425,661056,895368,453747,491522,487292
50 and over,All over 12 months,2007362,1569844,1633991,1367232,1316873,1256757,1254282,1746786,1365270,1273900,806704
50 and over,All over 24 months,1276930,1065034,1038976,854684,823432,778555,849280,1039751,802173,885699,543029
