Age,Gender,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
All aged 16 & over,Male,13781957,11776960,10782653,9694749,8926590,8657633,10069046,10159322,8257074,9231067,7130135
All aged 16 to 64,Male,13577935,11612234,10674529,9541455,8782728,8509184,9845699,9904056,8070913,8995162,6927942
16 to 17,Male,1005756,967545,852902,716448,654926,596706,648731,568977,741107,559838,542598
18 to 24,Male,4561269,3833671,3404777,3054925,2755726,2915721,3249517,2884743,2483396,3209397,2534907
25 to 49,Male,5592531,4725800,4221659,3781964,3546110,3228265,3721406,4067406,3100862,3258430,2567961
50 and over,Male,2622401,2249944,2303315,2141412,1969828,1916941,2449392,2638196,1931709,2203402,1484669
All aged 16 & over,Female,11042516,9703463,8962387,8109019,7749759,7038026,8094238,8571095,7089641,7424986,5938189
All aged 16 to 64,Female,10956268,9616980,8844259,8035210,7676496,6945344,7989086,8423686,6943553,7351597,5807171
16 to 17,Female,1008788,738331,724850,680054,626500,458562,530085,637949,454053,526024,517063
18 to 24,Female,3022906,2776866,2311069,2055333,2018315,1884838,2334164,2087574,1595103,1789487,1448436
25 to 49,Female,5283518,4608666,4340344,3919733,3552399,3236455,3661078,3904929,3542769,3791041,2891314
50 and over,Female,1727304,1579600,1586124,1453899,1552545,1458171,1568911,1940643,1497716,1318434,1081376
